resume_id,rank,SKILL_score
11813872,1,1.0
32985311,2,1.0
10265057,3,0.7977248475919476
20566550,4,0.7893821111059284
55953734,5,0.7874444352656065
21156767,6,0.7681067719566549
14871762,7,0.6992910435344396
62994611,8,0.6932036499356293
95429627,9,0.6426905655374371
20574232,10,0.6163856433834505
11580408,11,0.6163856433834505
26341987,12,0.6163856433834505
81011612,13,0.6163856433834505
13454871,14,0.6163856433834505
19532392,15,0.6163856433834505
13836471,16,0.6163856433834505
32042584,17,0.6163856433834505
18365443,18,0.6163856433834505
19176318,19,0.6163856433834505
20850529,20,0.6163856433834505
18301617,21,0.6163856433834505
18187364,22,0.6163856433834505
12472574,23,0.6163856433834505
29647215,24,0.6163856433834505
34953092,25,0.5979911603617368
22488036,26,0.5929398204666108
26480367,27,0.5393478334826812
12011623,28,0.5351787349899493
54227873,29,0.5306759637055262
37764298,30,0.529765867908582
14449423,31,0.529765867908582
22890839,32,0.5111063518472287
79541391,33,0.5105780475232923
26013403,34,0.5105780475232923
22946204,35,0.4881100885935251
28790806,36,0.460843023837298
77156708,37,0.460843023837298
32959732,38,0.460843023837298
14789139,39,0.460843023837298
29975124,40,0.460843023837298
43720116,41,0.4600789386966262
26456899,42,0.45301311617990414
35483925,43,0.45301311617990414
26071861,44,0.4529865851302084
20824105,45,0.4416407775042236
27152464,46,0.4342211788235931
90867631,47,0.42968049232675154
26291616,48,0.421087100782514
10089434,49,0.40822519935807905
14593060,50,0.39866091649715524
