rank,resume_id,overall_score,skill_score,job_title_score,degree_score,institution_score,certification_score,experience_score
1,55953734,0.5454545454545454,1.0,0.0,1.0,0.0,0.0,0.0
2,27152464,0.4277930477040312,0.5514308811860859,1.0,0.0,0.0,0.0,0.0
3,36434348,0.40909090909090906,0.0,1.0,1.0,0.0,0.0,0.0
4,33872500,0.40909090909090906,0.0,1.0,1.0,0.0,0.0,0.0
5,20566550,0.38780943416670816,0.6215945506885799,0.7118102292317879,0.0,0.0,0.0,0.0
6,62994611,0.38503008248882836,0.6738718470784908,0.6159374076252596,0.0,0.0,0.0,0.0
7,34953092,0.35304902238722635,0.47088481156487255,0.0,1.0,0.0,0.0,0.0
8,13405733,0.3477469857050547,0.4563042106889005,0.0,1.0,0.0,0.0,0.0
9,12011623,0.33506309699648085,0.42142351674032225,0.0,1.0,0.0,0.0,0.0
10,32985311,0.2863434310056751,0.7874444352656065,0.0,0.0,0.0,0.0,0.0
11,11813872,0.2863434310056751,0.7874444352656065,0.0,0.0,0.0,0.0,0.0
12,22488036,0.2738154852754144,0.7529925845073895,0.0,0.0,0.0,0.0,0.0
13,23464505,0.2727272727272727,0.0,1.0,0.0,0.0,0.0,0.5
14,10268614,0.26363636363636367,0.0,0.0,1.0,0.0,0.0,0.9
15,26480367,0.2490670784112397,0.6849344656309092,0.0,0.0,0.0,0.0,0.0
16,54227873,0.24506246925982814,0.6739217904645274,0.0,0.0,0.0,0.0,0.0
17,22890839,0.23602535860766385,0.6490697361710756,0.0,0.0,0.0,0.0,0.0
18,10265057,0.2284232698579575,0.6281639921093831,0.0,0.0,0.0,0.0,0.0
19,14449423,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
20,17911230,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
21,26503829,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
22,25656981,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
23,33141415,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
24,26746496,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
25,12763627,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
26,12860543,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
27,16186411,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
28,14413257,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
29,86322251,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
30,98300955,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
31,35990852,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
32,27981289,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
33,23985183,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
34,28630325,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
35,41344156,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
36,33893326,0.22727272727272727,0.0,1.0,0.0,0.0,0.0,0.0
37,21156767,0.2199423284607622,0.604841403267096,0.0,0.0,0.0,0.0,0.0
38,43720116,0.21246125410345626,0.5842684487845047,0.0,0.0,0.0,0.0,0.0
39,26071861,0.20918605455284203,0.5752616500203156,0.0,0.0,0.0,0.0,0.0
